"Test","Parameter","Verdict","Time","Duration","Log","Band","Type","Version"
"25.2.1.2.4","FACCH/F","PASS","4/3/2017 9:12:54 PM","00:00:54","25_2_1_2_4\GSM900 FACCH_F 03-04-17 211254\","GSM900","GERAN","2.01.1"
"25.2.1.2.4","FACCH/H","PASS","4/3/2017 9:13:48 PM","00:00:56","25_2_1_2_4\GSM900 FACCH_H 03-04-17 211348\","GSM900","GERAN","2.01.1"
"25.2.1.2.4","SDCCH","PASS","4/3/2017 9:14:44 PM","00:00:54","25_2_1_2_4\GSM900 SDCCH 03-04-17 211444\","GSM900","GERAN","2.01.1"
"25.2.2.1","FACCH/F","PASS","4/3/2017 9:15:38 PM","00:00:54","25_2_2_1\GSM900 FACCH_F 03-04-17 211538\","GSM900","GERAN","2.01.1"
"25.2.2.1","FACCH/H","PASS","4/3/2017 9:16:32 PM","00:00:57","25_2_2_1\GSM900 FACCH_H 03-04-17 211632\","GSM900","GERAN","2.01.1"
"25.2.2.1","SDCCH","PASS","4/3/2017 9:17:29 PM","00:00:54","25_2_2_1\GSM900 SDCCH 03-04-17 211729\","GSM900","GERAN","2.01.1"
"25.2.2.2","FACCH/F","PASS","4/3/2017 9:18:23 PM","00:01:00","25_2_2_2\GSM900 FACCH_F 03-04-17 211823\","GSM900","GERAN","2.01.1"
"25.2.2.2","FACCH/H","PASS","4/3/2017 9:19:23 PM","00:00:55","25_2_2_2\GSM900 FACCH_H 03-04-17 211923\","GSM900","GERAN","2.01.1"
"25.2.2.2","SDCCH","PASS","4/3/2017 9:20:18 PM","00:00:55","25_2_2_2\GSM900 SDCCH 03-04-17 212018\","GSM900","GERAN","2.01.1"
"25.2.3","FACCH/F","PASS","4/3/2017 9:21:17 PM","00:01:11","25_2_3\GSM900 FACCH_F 03-04-17 212117\","GSM900","GERAN","2.01.1"
"25.2.3","FACCH/H","PASS","4/3/2017 9:22:28 PM","00:01:14","25_2_3\GSM900 FACCH_H 03-04-17 212228\","GSM900","GERAN","2.01.1"
"25.2.3","SDCCH","PASS","4/3/2017 9:23:42 PM","00:01:12","25_2_3\GSM900 SDCCH 03-04-17 212342\","GSM900","GERAN","2.01.1"
"25.2.4.3","FACCH/F","PASS","4/3/2017 9:24:54 PM","00:00:57","25_2_4_3\GSM900 FACCH_F 03-04-17 212454\","GSM900","GERAN","2.01.1"
"25.2.4.3","FACCH/H","PASS","4/3/2017 9:25:51 PM","00:00:54","25_2_4_3\GSM900 FACCH_H 03-04-17 212551\","GSM900","GERAN","2.01.1"
"25.2.4.3","SDCCH","PASS","4/3/2017 9:26:45 PM","00:00:59","25_2_4_3\GSM900 SDCCH 03-04-17 212645\","GSM900","GERAN","2.01.1"
"25.2.5.1","FACCH/F","PASS","4/3/2017 9:27:44 PM","00:00:57","25_2_5_1\GSM900 FACCH_F 03-04-17 212744\","GSM900","GERAN","2.01.1"
"25.2.5.1","FACCH/H","PASS","4/3/2017 9:28:41 PM","00:00:56","25_2_5_1\GSM900 FACCH_H 03-04-17 212841\","GSM900","GERAN","2.01.1"
"25.2.5.1","SDCCH","PASS","4/3/2017 9:29:37 PM","00:00:54","25_2_5_1\GSM900 SDCCH 03-04-17 212937\","GSM900","GERAN","2.01.1"
"25.2.5.2","FACCH/F","PASS","4/3/2017 9:30:31 PM","00:00:54","25_2_5_2\GSM900 FACCH_F 03-04-17 213031\","GSM900","GERAN","2.01.1"
"25.2.5.2","FACCH/H","PASS","4/3/2017 9:31:25 PM","00:00:54","25_2_5_2\GSM900 FACCH_H 03-04-17 213125\","GSM900","GERAN","2.01.1"
